longitude,latitude,height_meters
12.4970216,41.8845384,3.0
12.4971523,41.8845532,3.0
12.4971434,41.8846276,3.0
12.4971036,41.8847093,3.0
12.4970414,41.8847747,3.0
12.4969575,41.8848295,3.0
12.4969719,41.8848587,3.0
12.4968864,41.8848807,3.0
12.4968038,41.8849019,3.0
12.4967609,41.8848971,3.0
12.4967478,41.8849815,3.0
12.4965265,41.8849643,3.0
12.4965304,41.8849506,3.0
12.4962865,41.8848527,3.0
12.4963786,41.8847232,3.0
12.4964002,41.8847408,3.0
12.4964134,41.8847311,3.0
12.4963794,41.8846825,3.0
12.4964293,41.8846694,3.0
12.496456,41.8847104,3.0
12.49647,41.8846992,3.0
12.4965223,41.8847335,3.0
12.4964694,41.8847661,3.0
12.4965539,41.8848106,3.0
12.4965959,41.884741,3.0
12.4965526,41.884717,3.0
12.4964936,41.8846684,3.0
12.4964637,41.8846039,3.0
12.4964598,41.8845271,3.0
12.4964904,41.8844593,3.0
12.4825581,41.8846583,3.0
12.4824267,41.8846253,3.0
12.4824642,41.8845445,3.0
12.4822926,41.8844816,3.0
12.482318,41.8844276,3.0
12.4822885,41.8844157,3.0
12.4823301,41.8843587,3.0
12.4825313,41.8844346,3.0
12.4826238,41.8844616,3.0
12.4826466,41.8844157,3.0
12.4823985,41.8843328,3.0
12.4824025,41.8843078,3.0
12.4822765,41.8842609,3.0
12.4822255,41.8842419,3.0
12.4820767,41.884175,3.0
12.482141,41.8841081,3.0
12.4823274,41.884191,3.0
12.4824978,41.8842549,3.0
12.4827041,41.8843247,3.0
12.4827338,41.8843348,3.0
12.4827754,41.8843518,3.0
12.4827646,41.8844256,3.0
12.4827575,41.8844496,3.0
12.4826842,41.8846982,3.0
12.4825581,41.8846583,3.0
12.4812987,41.8914736,3.0
12.481509,41.8915883,3.0
12.4814917,41.8916083,3.0
12.4815742,41.8916552,3.0
12.4814833,41.8917472,3.0
12.4813936,41.891838,3.0
12.4813034,41.8917866,3.0
12.4812817,41.8918111,3.0
12.4810842,41.8917096,3.0
12.4812987,41.8914736,3.0
12.4839722,41.8930251,31.0
12.4839855,41.8930185,31.0
12.484053,41.8930943,31.0
12.4840304,41.8931054,31.0
12.4839615,41.8931394,31.0
12.4835407,41.8933103,31.0
12.4835103,41.8932807,31.0
12.4834873,41.8932525,31.0
12.4835178,41.8932374,31.0
12.4834686,41.8931824,31.0
12.4834074,41.8931144,31.0
12.483355,41.8930564,31.0
12.48329,41.8929835,31.0
12.4832459,41.8929364,31.0
12.4832256,41.892947,31.0
12.4831352,41.8928579,31.0
12.4832203,41.8927888,31.0
12.4832554,41.8927628,31.0
12.4832714,41.8927521,31.0
12.4833166,41.8927191,31.0
12.4833352,41.8927332,31.0
12.483572,41.8925582,31.0
12.4836134,41.8926065,31.0
12.4836986,41.8927066,31.0
12.4837027,41.8927109,31.0
12.483748,41.8927641,31.0
12.4837654,41.8927845,31.0
12.4838076,41.8928324,31.0
12.4838554,41.8928885,31.0
12.4838592,41.8928927,31.0
12.4839722,41.8930251,31.0
12.4816251,41.8883453,17.0
12.4817097,41.8883039,17.0
12.4820435,41.8881407,17.0
12.4820659,41.8881622,17.0
12.4821994,41.8882908,17.0
12.482633,41.8880574,17.0
12.4827075,41.8880163,17.0
12.482749,41.8880624,17.0
12.4829178,41.8879682,17.0
12.4830456,41.8880862,17.0
12.4819364,41.8886986,17.0
12.4816251,41.8883453,17.0
12.4821098,41.8901047,3.0
12.482163,41.8896859,3.0
12.4825455,41.889683,3.0
12.4825432,41.8898194,3.0
12.4825434,41.8899867,3.0
12.4824796,41.8899838,3.0
12.4824751,41.8900827,3.0
12.4824547,41.8901297,3.0
12.4824535,41.8901354,3.0
12.4824343,41.8901754,3.0
12.482277,41.8901144,3.0
12.4822642,41.8901582,3.0
12.4821098,41.8901047,3.0
12.4821609,41.8896653,3.0
12.4821683,41.8894812,3.0
12.4825508,41.8894932,3.0
12.4825479,41.8895916,3.0
12.4823977,41.8895883,3.0
12.4823932,41.8896705,3.0
12.4821609,41.8896653,3.0
12.4820249,41.8895745,3.0
12.4819901,41.8898169,3.0
12.4819831,41.8898656,3.0
12.4818688,41.8898566,3.0
12.4816018,41.8898355,3.0
12.4816116,41.8895817,3.0
12.481624,41.8895815,3.0
12.4817214,41.8895801,3.0
12.4817845,41.8895787,3.0
12.4818821,41.8895772,3.0
12.4820249,41.8895745,3.0
12.4818395,41.8903938,3.0
12.4816719,41.890393,3.0
12.4816712,41.8904691,3.0
12.481493,41.8904511,3.0
12.4813521,41.8904327,3.0
12.4812276,41.8904106,3.0
12.4811152,41.8903856,3.0
12.4810139,41.8903634,3.0
12.4810053,41.8903608,3.0
12.4810285,41.8903021,3.0
12.481053,41.89024,3.0
12.481012,41.8902321,3.0
12.4811433,41.8899154,3.0
12.4813583,41.8899617,3.0
12.4813509,41.8899801,3.0
12.4814071,41.8899922,3.0
12.4814685,41.8900035,3.0
12.4815299,41.8900118,3.0
12.4815943,41.8900208,3.0
12.4816797,41.8900306,3.0
12.4817712,41.8900367,3.0
12.481852,41.8900399,3.0
12.4818512,41.8900529,3.0
12.4818444,41.8902516,3.0
12.4818395,41.8903938,3.0
12.484538,41.8909013,3.0
12.4846232,41.8910163,3.0
12.4844578,41.8910833,3.0
12.484375,41.8909755,3.0
12.4844124,41.8909579,3.0
12.4844408,41.8909452,3.0
12.484538,41.8909013,3.0
12.4830169,41.8907647,3.0
12.4834223,41.89065,3.0
12.4835303,41.8907472,3.0
12.4834764,41.8908197,3.0
12.4833801,41.8909021,3.0
12.4833467,41.8908895,3.0
12.4831647,41.8908206,3.0
12.4830169,41.8907647,3.0
12.484025,41.8904913,3.0
12.4841991,41.8904439,3.0
12.4842949,41.8905731,3.0
12.4843333,41.890625,3.0
12.4841948,41.890683,3.0
12.484167,41.8906947,3.0
12.4841232,41.8906366,3.0
12.4840963,41.8905966,3.0
12.484025,41.8904913,3.0
12.48444,41.8907691,3.0
12.484538,41.8909013,3.0
12.4844408,41.8909452,3.0
12.4844306,41.8909308,3.0
12.4843999,41.8909435,3.0
12.4844124,41.8909579,3.0
12.484375,41.8909755,3.0
12.4843437,41.8909877,3.0
12.4842914,41.8909175,3.0
12.4843175,41.8909091,3.0
12.4842721,41.8908532,3.0
12.48444,41.8907691,3.0
12.4839089,41.8906554,3.0
12.4839656,41.890708,3.0
12.4839897,41.8907434,3.0
12.4839349,41.8907733,3.0
12.4839105,41.890749,3.0
12.4838844,41.8907651,3.0
12.4839071,41.8907879,3.0
12.483774,41.8908683,3.0
12.4836336,41.8907437,3.0
12.4837001,41.8907018,3.0
12.4837626,41.8906626,3.0
12.4837895,41.8906928,3.0
12.483846,41.8906751,3.0
12.4838921,41.8906607,3.0
12.4839089,41.8906554,3.0
12.4831208,41.891164,3.0
12.4831775,41.8911026,3.0
12.4832043,41.8911172,3.0
12.4833221,41.8911621,3.0
12.4835437,41.8910394,3.0
12.484015,41.8915037,3.0
12.4839957,41.8915114,3.0
12.4840807,41.8916263,3.0
12.4841565,41.8917628,3.0
12.4838839,41.8918985,3.0
12.4835663,41.8916157,3.0
12.4833476,41.8914081,3.0
12.4830674,41.8912218,3.0
12.4831208,41.891164,3.0
12.4805413,41.8934125,12.0
12.4803993,41.8933235,12.0
12.4804147,41.8933091,12.0
12.4803143,41.8932357,12.0
12.4801865,41.8931263,12.0
12.4799567,41.8929141,12.0
12.4802387,41.8926787,12.0
12.4804205,41.8927653,12.0
12.4806337,41.8928664,12.0
12.4808623,41.8929883,12.0
12.4809505,41.8930414,12.0
12.4810635,41.8931031,12.0
12.4811755,41.8931781,12.0
12.4813679,41.8933534,12.0
12.4811766,41.8934881,12.0
12.4811442,41.8935117,12.0
12.4811593,41.8935242,12.0
12.4810073,41.8936329,12.0
12.4809947,41.8936229,12.0
12.4810647,41.8935731,12.0
12.4809666,41.8934955,12.0
12.4810981,41.8934094,12.0
12.481074,41.8933866,12.0
12.4810452,41.8934027,12.0
12.48097,41.8933334,12.0
12.4810003,41.8933131,12.0
12.4809758,41.8932938,12.0
12.4810553,41.8932419,12.0
12.4808504,41.8931009,12.0
12.4805639,41.8933943,12.0
12.4805413,41.8934125,12.0
12.481514,41.8973015,15.0
12.4818067,41.8973643,15.0
12.4815482,41.8980321,15.0
12.4814292,41.8980066,15.0
12.481438,41.8979837,15.0
12.4811629,41.8979247,15.0
12.48113,41.8980099,15.0
12.4810668,41.8981731,15.0
12.4809225,41.8981487,15.0
12.4809916,41.897939,15.0
12.4806468,41.8978345,15.0
12.4803469,41.8977531,15.0
12.4805163,41.8972498,15.0
12.480624,41.8969936,15.0
12.4808161,41.8965044,15.0
12.4808839,41.8965173,15.0
12.4809489,41.896531,15.0
12.4817473,41.8966977,15.0
12.481514,41.8973015,15.0
12.4884519,41.8952565,3.0
